"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 30 August 2015"," Confirmed","3337","2077"
"Guinea"," 30 August 2015"," Probable","452","452"
"Guinea"," 30 August 2015"," Suspected","3","Not available"
"Guinea"," 30 August 2015"," Total","3792","2529"
"Liberia"," 20 August 2015"," Confirmed","6","2"
"Liberia"," 20 August 2015"," Probable","0","Not available"
"Liberia"," 20 August 2015"," Suspected","Not available","Not available"
"Liberia"," 20 August 2015"," Total","6","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 30 August 2015"," Confirmed","8698","3587"
"Sierra Leone"," 30 August 2015"," Probable","287","208"
"Sierra Leone"," 30 August 2015"," Suspected","4624","158"
"Sierra Leone"," 30 August 2015"," Total","13 609","3953"
"All countries","  "," Confirmed","15 192","Not available"
"All countries","  "," Probable","2618","Not available"
"All countries","  "," Suspected","10 263","Not available"
"All countries","  "," Total","28 073","11 290"
