"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 31 October 2015"," Confirmed","3351","2083"
"Guinea"," 31 October 2015"," Probable","453","453"
"Guinea"," 31 October 2015"," Suspected","4","Not available"
"Guinea"," 31 October 2015"," Total","3808","2536"
"Liberia"," 20 September 2015"," Confirmed","6","2"
"Liberia"," 20 September 2015"," Probable","Not available","Not available"
"Liberia"," 20 September 2015"," Suspected","Not available","Not available"
"Liberia"," 20 September 2015"," Total","6","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 31 October 2015"," Confirmed","8704","3589"
"Sierra Leone"," 31 October 2015"," Probable","287","208"
"Sierra Leone"," 31 October 2015"," Suspected","5087","158"
"Sierra Leone"," 31 October 2015"," Total","14 078","3955"
"All countries","  "," Confirmed","15 212","Not available"
"All countries","  "," Probable","2619","Not available"
"All countries","  "," Suspected","10 727","Not available"
"All countries","  "," Total","28 558","11 299"
