"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 30 September 2015"," Confirmed","3344","2080"
"Guinea"," 30 September 2015"," Probable","453","453"
"Guinea"," 30 September 2015"," Suspected","12","Not available"
"Guinea"," 30 September 2015"," Total","3809","2533"
"Liberia"," 20 September 2015"," Confirmed","6","2"
"Liberia"," 20 September 2015"," Probable","0","Not available"
"Liberia"," 20 September 2015"," Suspected","Not available","Not available"
"Liberia"," 20 September 2015"," Total","6","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 30 September 2015"," Confirmed","8704","3589"
"Sierra Leone"," 30 September 2015"," Probable","287","208"
"Sierra Leone"," 30 September 2015"," Suspected","4940","158"
"Sierra Leone"," 30 September 2015"," Total","13 931","3955"
"All countries","  "," Confirmed","15 205","Not available"
"All countries","  "," Probable","2619","Not available"
"All countries","  "," Suspected","10 588","Not available"
"All countries","  "," Total","28 412","11 296"
