"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 22 September 2015"," Confirmed","3340","2080"
"Guinea"," 22 September 2015"," Probable","453","453"
"Guinea"," 22 September 2015"," Suspected","8","Not available"
"Guinea"," 22 September 2015"," Total","3801","2533"
"Liberia"," 17 September 2015"," Confirmed","6","2"
"Liberia"," 17 September 2015"," Probable","0","Not available"
"Liberia"," 17 September 2015"," Suspected","Not available","Not available"
"Liberia"," 17 September 2015"," Total","6","2"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 22 September 2015"," Confirmed","8704","3589"
"Sierra Leone"," 22 September 2015"," Probable","287","208"
"Sierra Leone"," 22 September 2015"," Suspected","4855","158"
"Sierra Leone"," 22 September 2015"," Total","13 846","3955"
"All countries","  "," Confirmed","15 201","Not available"
"All countries","  "," Probable","2619","Not available"
"All countries","  "," Suspected","10 499","Not available"
"All countries","  "," Total","28 319","11 296"
