"","","","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," Cumulative"
"Guinea"," 13 June 2015"," Confirmed","3249","2024"
"Guinea"," 13 June 2015"," Probable","419","419"
"Guinea"," 13 June 2015"," Suspected","9","Not available"
"Guinea"," 13 June 2015"," Total","3677","2443"
"Liberia"," 9 May 2015"," Confirmed","3151","Not available"
"Liberia"," 9 May 2015"," Probable","1879","Not available"
"Liberia"," 9 May 2015"," Suspected","5636","Not available"
"Liberia"," 9 May 2015"," Total","10 666","4806"
"Sierra Leone"," 13 June 2015"," Confirmed","8649","3553"
"Sierra Leone"," 13 June 2015"," Probable","287","208"
"Sierra Leone"," 13 June 2015"," Suspected","4026","158"
"Sierra Leone"," 13 June 2015"," Total","12 962","3919"
"All countries","  "," Confirmed","15 049","Not available"
"All countries","  "," Probable","2585","Not available"
"All countries","  "," Suspected","9671","Not available"
"All countries","  "," Total","27 305","11 168"
