"","","","Number of cases","Number of cases","Number of deaths"
"Country","Data as of","Case definition"," Cumulative"," In past 21 days"," Cumulative"
"Guinea"," 8 November 2015"," Confirmed","3351","4","2083"
"Guinea"," 8 November 2015"," Probable","453","Not reported.","453"
"Guinea"," 8 November 2015"," Suspected","1","Not reported.","Data not available."
"Guinea"," 8 November 2015"," Total","3805","4","2536"
"Liberia"," 20 September 2015"," Confirmed","6","0","2"
"Liberia"," 20 September 2015"," Probable","Not reported.","Not reported.","Data not available."
"Liberia"," 20 September 2015"," Suspected","Data not available.","Not reported.","Data not available."
"Liberia"," 20 September 2015"," Total","6","0","2"
"Liberia"," 9 May 2015"," Confirmed","3151","-","Data not available."
"Liberia"," 9 May 2015"," Probable","1879","-","Data not available."
"Liberia"," 9 May 2015"," Suspected","5636","-","Data not available."
"Liberia"," 9 May 2015"," Total","10 666","-","4806"
"Sierra Leone"," 7 November 2015"," Confirmed","8704","0","3589"
"Sierra Leone"," 7 November 2015"," Probable","287","Not reported.","208"
"Sierra Leone"," 7 November 2015"," Suspected","5131","Not reported.","158"
"Sierra Leone"," 7 November 2015"," Total","14 122","0","3955"
"All countries","  "," Confirmed","15 212","4","Data not available."
"All countries","  "," Probable","2619","Not reported.","Data not available."
"All countries","  "," Suspected","10 768","Not reported.","Data not available."
"All countries","  "," Total","28 599","4","11 299"
